
n;v | Base4h| Base4| b8| b8h | b16 | b16h | b32 |32ghs
35;5300703552     | 02131332102202200G| ?                 | ?                | 11677112120I     | ?       | 277e4a28M| 4tv4ka0 | 4xz4nb0 
35;5300703553     | 02131332102202200H| ?                 | ?                | 11677112120J     | ?       | 277e4a28N| 4tv4ka1 | 4xz4nb1 
34;2650351777     | 02131332102202201| 02131332102202201 | ?                | 11677112120H     | ?       | 277e4a28J| ?       | ?       
35;5300703554     | 02131332102202201G| ?                 | ?                | 11677112120K     | ?       | 277e4a28O| 4tv4ka2 | 4xz4nb2 
35;5300703555     | 02131332102202201H| ?                 | ?                | 11677112120L     | ?       | 277e4a28P| 4tv4ka3 | 4xz4nb3 
33;1325175889     | 0213133210220220H| ?                 | 11677112121      | 11677112121      | ?       | 277e4a28H| ?       | ?       
34;2650351778     | 02131332102202202| 02131332102202202 | ?                | 11677112121G     | ?       | 277e4a28K| ?       | ?       
35;5300703556     | 02131332102202202G| ?                 | ?                | 11677112121I     | ?       | 277e4a28Q| 4tv4ka4 | 4xz4nb4 
35;5300703557     | 02131332102202202H| ?                 | ?                | 11677112121J     | ?       | 277e4a28R| 4tv4ka5 | 4xz4nb5 
34;2650351779     | 02131332102202203| 02131332102202203 | ?                | 11677112121H     | ?       | 277e4a28L| ?       | ?       
35;5300703558     | 02131332102202203G| ?                 | ?                | 11677112121K     | ?       | 277e4a28S| 4tv4ka6 | 4xz4nb6 
35;5300703559     | 02131332102202203H| ?                 | ?                | 11677112121L     | ?       | 277e4a28T| 4tv4ka7 | 4xz4nb7 
32;662587945      | 0213133210220221 | 0213133210220221  | ?                | 1167711212J      | 277e4a29| 277e4a29| ?       | ?       
33;1325175890     | 0213133210220221G| ?                 | 11677112122      | 11677112122      | ?       | 277e4a29G| ?       | ?       
34;2650351780     | 02131332102202210| 02131332102202210 | ?                | 11677112122G     | ?       | 277e4a29I| ?       | ?       
35;5300703560     | 02131332102202210G| ?                 | ?                | 11677112122I     | ?       | 277e4a29M| 4tv4ka8 | 4xz4nb8 
35;5300703561     | 02131332102202210H| ?                 | ?                | 11677112122J     | ?       | 277e4a29N| 4tv4ka9 | 4xz4nb9 
34;2650351781     | 02131332102202211| 02131332102202211 | ?                | 11677112122H     | ?       | 277e4a29J| ?       | ?       
35;5300703562     | 02131332102202211G| ?                 | ?                | 11677112122K     | ?       | 277e4a29O| 4tv4kaa | 4xz4nbb 
35;5300703563     | 02131332102202211H| ?                 | ?                | 11677112122L     | ?       | 277e4a29P| 4tv4kab | 4xz4nbc 
33;1325175891     | 0213133210220221H| ?                 | 11677112123      | 11677112123      | ?       | 277e4a29H| ?       | ?       
34;2650351782     | 02131332102202212| 02131332102202212 | ?                | 11677112123G     | ?       | 277e4a29K| ?       | ?       
35;5300703564     | 02131332102202212G| ?                 | ?                | 11677112123I     | ?       | 277e4a29Q| 4tv4kac | 4xz4nbd 
35;5300703565     | 02131332102202212H| ?                 | ?                | 11677112123J     | ?       | 277e4a29R| 4tv4kad | 4xz4nbe 
34;2650351783     | 02131332102202213| 02131332102202213 | ?                | 11677112123H     | ?       | 277e4a29L| ?       | ?       
35;5300703566     | 02131332102202213G| ?                 | ?                | 11677112123K     | ?       | 277e4a29S| 4tv4kae | 4xz4nbf 
35;5300703567     | 02131332102202213H| ?                 | ?                | 11677112123L     | ?       | 277e4a29T| 4tv4kaf | 4xz4nbg 
31;331293973      | 021313321022022H | ?                 | ?                | 1167711212H      | ?       | 277e4a2R| ?       | ?       
32;662587946      | 0213133210220222 | 0213133210220222  | ?                | 1167711212K      | 277e4a2a| 277e4a2a| ?       | ?       
33;1325175892     | 0213133210220222G| ?                 | 11677112124      | 11677112124      | ?       | 277e4a2aG| ?       | ?       
34;2650351784     | 02131332102202220| 02131332102202220 | ?                | 11677112124G     | ?       | 277e4a2aI| ?       | ?       
35;5300703568     | 02131332102202220G| ?                 | ?                | 11677112124I     | ?       | 277e4a2aM| 4tv4kag | 4xz4nbh 
35;5300703569     | 02131332102202220H| ?                 | ?                | 11677112124J     | ?       | 277e4a2aN| 4tv4kah | 4xz4nbj 
34;2650351785     | 02131332102202221| 02131332102202221 | ?                | 11677112124H     | ?       | 277e4a2aJ| ?       | ?       
35;5300703570     | 02131332102202221G| ?                 | ?                | 11677112124K     | ?       | 277e4a2aO| 4tv4kai | 4xz4nbk 
35;5300703571     | 02131332102202221H| ?                 | ?                | 11677112124L     | ?       | 277e4a2aP| 4tv4kaj | 4xz4nbm 
33;1325175893     | 0213133210220222H| ?                 | 11677112125      | 11677112125      | ?       | 277e4a2aH| ?       | ?       
34;2650351786     | 02131332102202222| 02131332102202222 | ?                | 11677112125G     | ?       | 277e4a2aK| ?       | ?       
35;5300703572     | 02131332102202222G| ?                 | ?                | 11677112125I     | ?       | 277e4a2aQ| 4tv4kak | 4xz4nbn 
35;5300703573     | 02131332102202222H| ?                 | ?                | 11677112125J     | ?       | 277e4a2aR| 4tv4kal | 4xz4nbp 
34;2650351787     | 02131332102202223| 02131332102202223 | ?                | 11677112125H     | ?       | 277e4a2aL| ?       | ?       
35;5300703574     | 02131332102202223G| ?                 | ?                | 11677112125K     | ?       | 277e4a2aS| 4tv4kam | 4xz4nbq 
35;5300703575     | 02131332102202223H| ?                 | ?                | 11677112125L     | ?       | 277e4a2aT| 4tv4kan | 4xz4nbr 
32;662587947      | 0213133210220223 | 0213133210220223  | ?                | 1167711212L      | 277e4a2b| 277e4a2b| ?       | ?       
33;1325175894     | 0213133210220223G| ?                 | 11677112126      | 11677112126      | ?       | 277e4a2bG| ?       | ?       
34;2650351788     | 02131332102202230| 02131332102202230 | ?                | 11677112126G     | ?       | 277e4a2bI| ?       | ?       
35;5300703576     | 02131332102202230G| ?                 | ?                | 11677112126I     | ?       | 277e4a2bM| 4tv4kao | 4xz4nbs 
35;5300703577     | 02131332102202230H| ?                 | ?                | 11677112126J     | ?       | 277e4a2bN| 4tv4kap | 4xz4nbt 
34;2650351789     | 02131332102202231| 02131332102202231 | ?                | 11677112126H     | ?       | 277e4a2bJ| ?       | ?       
35;5300703578     | 02131332102202231G| ?                 | ?                | 11677112126K     | ?       | 277e4a2bO| 4tv4kaq | 4xz4nbu 
35;5300703579     | 02131332102202231H| ?                 | ?                | 11677112126L     | ?       | 277e4a2bP| 4tv4kar | 4xz4nbv 
33;1325175895     | 0213133210220223H| ?                 | 11677112127      | 11677112127      | ?       | 277e4a2bH| ?       | ?       
34;2650351790     | 02131332102202232| 02131332102202232 | ?                | 11677112127G     | ?       | 277e4a2bK| ?       | ?       
35;5300703580     | 02131332102202232G| ?                 | ?                | 11677112127I     | ?       | 277e4a2bQ| 4tv4kas | 4xz4nbw 
35;5300703581     | 02131332102202232H| ?                 | ?                | 11677112127J     | ?       | 277e4a2bR| 4tv4kat | 4xz4nbx 
34;2650351791     | 02131332102202233| 02131332102202233 | ?                | 11677112127H     | ?       | 277e4a2bL| ?       | ?       
35;5300703582     | 02131332102202233G| ?                 | ?                | 11677112127K     | ?       | 277e4a2bS| 4tv4kau | 4xz4nby 
35;5300703583     | 02131332102202233H| ?                 | ?                | 11677112127L     | ?       | 277e4a2bT| 4tv4kav | 4xz4nbz 
30;165646987      | 021313321022023  | 021313321022023   | 1167711213       | 1167711213       | ?       | 277e4a2L| 4tv4kb  | 4xz4nc  
31;331293974      | 021313321022023G | ?                 | ?                | 1167711213G      | ?       | 277e4a2S| ?       | ?       
32;662587948      | 0213133210220230 | 0213133210220230  | ?                | 1167711213I      | 277e4a2c| 277e4a2c| ?       | ?       
33;1325175896     | 0213133210220230G| ?                 | 11677112130      | 11677112130      | ?       | 277e4a2cG| ?       | ?       
34;2650351792     | 02131332102202300| 02131332102202300 | ?                | 11677112130G     | ?       | 277e4a2cI| ?       | ?       
35;5300703584     | 02131332102202300G| ?                 | ?                | 11677112130I     | ?       | 277e4a2cM| 4tv4kb0 | 4xz4nc0 
35;5300703585     | 02131332102202300H| ?                 | ?                | 11677112130J     | ?       | 277e4a2cN| 4tv4kb1 | 4xz4nc1 
34;2650351793     | 02131332102202301| 02131332102202301 | ?                | 11677112130H     | ?       | 277e4a2cJ| ?       | ?       
35;5300703586     | 02131332102202301G| ?                 | ?                | 11677112130K     | ?       | 277e4a2cO| 4tv4kb2 | 4xz4nc2 
35;5300703587     | 02131332102202301H| ?                 | ?                | 11677112130L     | ?       | 277e4a2cP| 4tv4kb3 | 4xz4nc3 
33;1325175897     | 0213133210220230H| ?                 | 11677112131      | 11677112131      | ?       | 277e4a2cH| ?       | ?       
34;2650351794     | 02131332102202302| 02131332102202302 | ?                | 11677112131G     | ?       | 277e4a2cK| ?       | ?       
35;5300703588     | 02131332102202302G| ?                 | ?                | 11677112131I     | ?       | 277e4a2cQ| 4tv4kb4 | 4xz4nc4 
35;5300703589     | 02131332102202302H| ?                 | ?                | 11677112131J     | ?       | 277e4a2cR| 4tv4kb5 | 4xz4nc5 
34;2650351795     | 02131332102202303| 02131332102202303 | ?                | 11677112131H     | ?       | 277e4a2cL| ?       | ?       
35;5300703590     | 02131332102202303G| ?                 | ?                | 11677112131K     | ?       | 277e4a2cS| 4tv4kb6 | 4xz4nc6 
35;5300703591     | 02131332102202303H| ?                 | ?                | 11677112131L     | ?       | 277e4a2cT| 4tv4kb7 | 4xz4nc7 
32;662587949      | 0213133210220231 | 0213133210220231  | ?                | 1167711213J      | 277e4a2d| 277e4a2d| ?       | ?       
33;1325175898     | 0213133210220231G| ?                 | 11677112132      | 11677112132      | ?       | 277e4a2dG| ?       | ?       
34;2650351796     | 02131332102202310| 02131332102202310 | ?                | 11677112132G     | ?       | 277e4a2dI| ?       | ?       
35;5300703592     | 02131332102202310G| ?                 | ?                | 11677112132I     | ?       | 277e4a2dM| 4tv4kb8 | 4xz4nc8 
35;5300703593     | 02131332102202310H| ?                 | ?                | 11677112132J     | ?       | 277e4a2dN| 4tv4kb9 | 4xz4nc9 
34;2650351797     | 02131332102202311| 02131332102202311 | ?                | 11677112132H     | ?       | 277e4a2dJ| ?       | ?       
35;5300703594     | 02131332102202311G| ?                 | ?                | 11677112132K     | ?       | 277e4a2dO| 4tv4kba | 4xz4ncb 
35;5300703595     | 02131332102202311H| ?                 | ?                | 11677112132L     | ?       | 277e4a2dP| 4tv4kbb | 4xz4ncc 
33;1325175899     | 0213133210220231H| ?                 | 11677112133      | 11677112133      | ?       | 277e4a2dH| ?       | ?       
34;2650351798     | 02131332102202312| 02131332102202312 | ?                | 11677112133G     | ?       | 277e4a2dK| ?       | ?       
35;5300703596     | 02131332102202312G| ?                 | ?                | 11677112133I     | ?       | 277e4a2dQ| 4tv4kbc | 4xz4ncd 
35;5300703597     | 02131332102202312H| ?                 | ?                | 11677112133J     | ?       | 277e4a2dR| 4tv4kbd | 4xz4nce 
34;2650351799     | 02131332102202313| 02131332102202313 | ?                | 11677112133H     | ?       | 277e4a2dL| ?       | ?       
35;5300703598     | 02131332102202313G| ?                 | ?                | 11677112133K     | ?       | 277e4a2dS| 4tv4kbe | 4xz4ncf 
35;5300703599     | 02131332102202313H| ?                 | ?                | 11677112133L     | ?       | 277e4a2dT| 4tv4kbf | 4xz4ncg 
31;331293975      | 021313321022023H | ?                 | ?                | 1167711213H      | ?       | 277e4a2T| ?       | ?       
32;662587950      | 0213133210220232 | 0213133210220232  | ?                | 1167711213K      | 277e4a2e| 277e4a2e| ?       | ?       
33;1325175900     | 0213133210220232G| ?                 | 11677112134      | 11677112134      | ?       | 277e4a2eG| ?       | ?       
34;2650351800     | 02131332102202320| 02131332102202320 | ?                | 11677112134G     | ?       | 277e4a2eI| ?       | ?       
35;5300703600     | 02131332102202320G| ?                 | ?                | 11677112134I     | ?       | 277e4a2eM| 4tv4kbg | 4xz4nch 
35;5300703601     | 02131332102202320H| ?                 | ?                | 11677112134J     | ?       | 277e4a2eN| 4tv4kbh | 4xz4ncj 
34;2650351801     | 02131332102202321| 02131332102202321 | ?                | 11677112134H     | ?       | 277e4a2eJ| ?       | ?       
35;5300703602     | 02131332102202321G| ?                 | ?                | 11677112134K     | ?       | 277e4a2eO| 4tv4kbi | 4xz4nck 
35;5300703603     | 02131332102202321H| ?                 | ?                | 11677112134L     | ?       | 277e4a2eP| 4tv4kbj | 4xz4ncm 
33;1325175901     | 0213133210220232H| ?                 | 11677112135      | 11677112135      | ?       | 277e4a2eH| ?       | ?       
34;2650351802     | 02131332102202322| 02131332102202322 | ?                | 11677112135G     | ?       | 277e4a2eK| ?       | ?       
35;5300703604     | 02131332102202322G| ?                 | ?                | 11677112135I     | ?       | 277e4a2eQ| 4tv4kbk | 4xz4ncn 
35;5300703605     | 02131332102202322H| ?                 | ?                | 11677112135J     | ?       | 277e4a2eR| 4tv4kbl | 4xz4ncp 
34;2650351803     | 02131332102202323| 02131332102202323 | ?                | 11677112135H     | ?       | 277e4a2eL| ?       | ?       
35;5300703606     | 02131332102202323G| ?                 | ?                | 11677112135K     | ?       | 277e4a2eS| 4tv4kbm | 4xz4ncq 
35;5300703607     | 02131332102202323H| ?                 | ?                | 11677112135L     | ?       | 277e4a2eT| 4tv4kbn | 4xz4ncr 
32;662587951      | 0213133210220233 | 0213133210220233  | ?                | 1167711213L      | 277e4a2f| 277e4a2f| ?       | ?       
33;1325175902     | 0213133210220233G| ?                 | 11677112136      | 11677112136      | ?       | 277e4a2fG| ?       | ?       
34;2650351804     | 02131332102202330| 02131332102202330 | ?                | 11677112136G     | ?       | 277e4a2fI| ?       | ?       
35;5300703608     | 02131332102202330G| ?                 | ?                | 11677112136I     | ?       | 277e4a2fM| 4tv4kbo | 4xz4ncs 
35;5300703609     | 02131332102202330H| ?                 | ?                | 11677112136J     | ?       | 277e4a2fN| 4tv4kbp | 4xz4nct 
34;2650351805     | 02131332102202331| 02131332102202331 | ?                | 11677112136H     | ?       | 277e4a2fJ| ?       | ?       
35;5300703610     | 02131332102202331G| ?                 | ?                | 11677112136K     | ?       | 277e4a2fO| 4tv4kbq | 4xz4ncu 
35;5300703611     | 02131332102202331H| ?                 | ?                | 11677112136L     | ?       | 277e4a2fP| 4tv4kbr | 4xz4ncv 
33;1325175903     | 0213133210220233H| ?                 | 11677112137      | 11677112137      | ?       | 277e4a2fH| ?       | ?       
34;2650351806     | 02131332102202332| 02131332102202332 | ?                | 11677112137G     | ?       | 277e4a2fK| ?       | ?       
35;5300703612     | 02131332102202332G| ?                 | ?                | 11677112137I     | ?       | 277e4a2fQ| 4tv4kbs | 4xz4ncw 
35;5300703613     | 02131332102202332H| ?                 | ?                | 11677112137J     | ?       | 277e4a2fR| 4tv4kbt | 4xz4ncx 
34;2650351807     | 02131332102202333| 02131332102202333 | ?                | 11677112137H     | ?       | 277e4a2fL| ?       | ?       
35;5300703614     | 02131332102202333G| ?                 | ?                | 11677112137K     | ?       | 277e4a2fS| 4tv4kbu | 4xz4ncy 
35;5300703615     | 02131332102202333H| ?                 | ?                | 11677112137L     | ?       | 277e4a2fT| 4tv4kbv | 4xz4ncz 

 total de itens: 126

