[1,1],[0,null],[1,0],[10,881],[8,65],[60,900997199254740991],[77,90099719925474099999991]
true


bits	Binary	Base4h
8	'00101110	'0232
8	'00101111	'0233
4	'0011	'03
5	'00110	'03G
6	'001100	'030
7	'0011000	'030G
8	'00110000	'0300
8	'00110001	'0301
7	'0011001	'030H
8	'00110010	'0302
8	'00110011	'0303
6	'001101	'031
7	'0011010	'031G
8	'00110100	'0310
8	'00110101	'0311
7	'0011011	'031H
8	'00110110	'0312
8	'00110111	'0313
5	'00111	'03H
6	'001110	'032
7	'0011100	'032G
8	'00111000	'0320
8	'00111001	'0321
7	'0011101	'032H
8	'00111010	'0322
8	'00111011	'0323
6	'001111	'033
7	'0011110	'033G
8	'00111100	'0330
8	'00111101	'0331
7	'0011111	'033H
8	'00111110	'0332
8	'00111111	'0333
2	'01	'1
3	'010	'1G
4	'0100	'10
5	'01000	'10G
6	'010000	'100
7	'0100000	'100G
8	'01000000	'1000
8	'01000001	'1001
7	'0100001	'100H
8	'01000010	'1002
8	'01000011	'1003
6	'010001	'101
7	'0100010	'101G
8	'01000100	'1010
8	'01000101	'1011
7	'0100011	'101H
8	'01000110	'1012
8	'01000111	'1013
5	'01001	'10H
6	'010010	'102
7	'0100100	'102G
8	'01001000	'1020
8	'01001001	'1021
7	'0100101	'102H
8	'01001010	'1022
8	'01001011	'1023
6	'010011	'103
7	'0100110	'103G
8	'01001100	'1030
8	'01001101	'1031
7	'0100111	'103H
8	'01001110	'1032
8	'01001111	'1033
4	'0101	'11
5	'01010	'11G
6	'010100	'110
7	'0101000	'110G
8	'01010000	'1100
8	'01010001	'1101
7	'0101001	'110H
8	'01010010	'1102
8	'01010011	'1103
6	'010101	'111
7	'0101010	'111G
8	'01010100	'1110
8	'01010101	'1111
7	'0101011	'111H
8	'01010110	'1112
8	'01010111	'1113
5	'01011	'11H
6	'010110	'112
7	'0101100	'112G
8	'01011000	'1120
8	'01011001	'1121
7	'0101101	'112H
8	'01011010	'1122
8	'01011011	'1123
6	'010111	'113
7	'0101110	'113G
8	'01011100	'1130
8	'01011101	'1131
7	'0101111	'113H
8	'01011110	'1132
8	'01011111	'1133
3	'011	'1H
4	'0110	'12
5	'01100	'12G
6	'011000	'120
7	'0110000	'120G
8	'01100000	'1200
8	'01100001	'1201
7	'0110001	'120H
8	'01100010	'1202
8	'01100011	'1203
6	'011001	'121
7	'0110010	'121G
8	'01100100	'1210
8	'01100101	'1211
7	'0110011	'121H
8	'01100110	'1212
8	'01100111	'1213
5	'01101	'12H
6	'011010	'122
7	'0110100	'122G
8	'01101000	'1220
8	'01101001	'1221
7	'0110101	'122H
8	'01101010	'1222
8	'01101011	'1223
6	'011011	'123
7	'0110110	'123G
8	'01101100	'1230
8	'01101101	'1231
7	'0110111	'123H
8	'01101110	'1232
8	'01101111	'1233
4	'0111	'13
5	'01110	'13G
6	'011100	'130
7	'0111000	'130G
8	'01110000	'1300
8	'01110001	'1301
7	'0111001	'130H
8	'01110010	'1302
8	'01110011	'1303
6	'011101	'131
7	'0111010	'131G
8	'01110100	'1310
8	'01110101	'1311
7	'0111011	'131H
8	'01110110	'1312
8	'01110111	'1313
5	'01111	'13H
6	'011110	'132
7	'0111100	'132G
8	'01111000	'1320
8	'01111001	'1321
7	'0111101	'132H
8	'01111010	'1322
8	'01111011	'1323
6	'011111	'133
7	'0111110	'133G
8	'01111100	'1330
8	'01111101	'1331
7	'0111111	'133H
8	'01111110	'1332
8	'01111111	'1333
1	'1	'H
2	'10	'2
3	'100	'2G
4	'1000	'20
5	'10000	'20G
6	'100000	'200
7	'1000000	'200G
8	'10000000	'2000
8	'10000001	'2001
7	'1000001	'200H
8	'10000010	'2002
8	'10000011	'2003
6	'100001	'201
7	'1000010	'201G
8	'10000100	'2010
8	'10000101	'2011
7	'1000011	'201H
8	'10000110	'2012
8	'10000111	'2013
5	'10001	'20H
6	'100010	'202
7	'1000100	'202G
8	'10001000	'2020
8	'10001001	'2021
7	'1000101	'202H
8	'10001010	'2022
8	'10001011	'2023
6	'100011	'203
7	'1000110	'203G
8	'10001100	'2030
8	'10001101	'2031
7	'1000111	'203H
8	'10001110	'2032
8	'10001111	'2033
4	'1001	'21
5	'10010	'21G
6	'100100	'210
7	'1001000	'210G
8	'10010000	'2100
8	'10010001	'2101
7	'1001001	'210H
8	'10010010	'2102
8	'10010011	'2103
6	'100101	'211
7	'1001010	'211G
8	'10010100	'2110
8	'10010101	'2111
7	'1001011	'211H
8	'10010110	'2112
8	'10010111	'2113
5	'10011	'21H
6	'100110	'212
7	'1001100	'212G
8	'10011000	'2120
8	'10011001	'2121
7	'1001101	'212H
8	'10011010	'2122
8	'10011011	'2123
6	'100111	'213
7	'1001110	'213G
8	'10011100	'2130
8	'10011101	'2131
7	'1001111	'213H
8	'10011110	'2132
8	'10011111	'2133
3	'101	'2H
4	'1010	'22
5	'10100	'22G
6	'101000	'220
7	'1010000	'220G
8	'10100000	'2200
8	'10100001	'2201
7	'1010001	'220H
8	'10100010	'2202
8	'10100011	'2203
6	'101001	'221
7	'1010010	'221G
8	'10100100	'2210
8	'10100101	'2211
7	'1010011	'221H
8	'10100110	'2212
8	'10100111	'2213
5	'10101	'22H
6	'101010	'222
7	'1010100	'222G
8	'10101000	'2220
8	'10101001	'2221
7	'1010101	'222H
8	'10101010	'2222
8	'10101011	'2223
6	'101011	'223
7	'1010110	'223G
8	'10101100	'2230
8	'10101101	'2231
7	'1010111	'223H
8	'10101110	'2232
8	'10101111	'2233
4	'1011	'23
5	'10110	'23G
6	'101100	'230
7	'1011000	'230G
8	'10110000	'2300
8	'10110001	'2301
7	'1011001	'230H
8	'10110010	'2302
8	'10110011	'2303
6	'101101	'231
7	'1011010	'231G
8	'10110100	'2310
8	'10110101	'2311
7	'1011011	'231H
8	'10110110	'2312
8	'10110111	'2313
5	'10111	'23H
6	'101110	'232
7	'1011100	'232G
8	'10111000	'2320
8	'10111001	'2321
7	'1011101	'232H
8	'10111010	'2322
8	'10111011	'2323
6	'101111	'233
7	'1011110	'233G
8	'10111100	'2330
8	'10111101	'2331
7	'1011111	'233H
8	'10111110	'2332
8	'10111111	'2333
2	'11	'3
3	'110	'3G
4	'1100	'30
5	'11000	'30G
6	'110000	'300
7	'1100000	'300G
8	'11000000	'3000
8	'11000001	'3001
7	'1100001	'300H
8	'11000010	'3002
8	'11000011	'3003
6	'110001	'301
7	'1100010	'301G
8	'11000100	'3010
8	'11000101	'3011
7	'1100011	'301H
8	'11000110	'3012
8	'11000111	'3013
5	'11001	'30H
6	'110010	'302
7	'1100100	'302G
8	'11001000	'3020
8	'11001001	'3021
7	'1100101	'302H
8	'11001010	'3022
8	'11001011	'3023
6	'110011	'303
7	'1100110	'303G
8	'11001100	'3030
8	'11001101	'3031
7	'1100111	'303H
8	'11001110	'3032
8	'11001111	'3033
4	'1101	'31
5	'11010	'31G
6	'110100	'310
7	'1101000	'310G
8	'11010000	'3100
8	'11010001	'3101
7	'1101001	'310H
8	'11010010	'3102
8	'11010011	'3103
6	'110101	'311
7	'1101010	'311G
8	'11010100	'3110
8	'11010101	'3111
7	'1101011	'311H
8	'11010110	'3112
8	'11010111	'3113
5	'11011	'31H
6	'110110	'312
7	'1101100	'312G
8	'11011000	'3120
8	'11011001	'3121
7	'1101101	'312H
8	'11011010	'3122
8	'11011011	'3123
6	'110111	'313
7	'1101110	'313G
8	'11011100	'3130
8	'11011101	'3131
7	'1101111	'313H
8	'11011110	'3132
8	'11011111	'3133
3	'111	'3H
4	'1110	'32
5	'11100	'32G
6	'111000	'320
7	'1110000	'320G
8	'11100000	'3200
8	'11100001	'3201
7	'1110001	'320H
8	'11100010	'3202
8	'11100011	'3203
6	'111001	'321
7	'1110010	'321G
8	'11100100	'3210
8	'11100101	'3211
7	'1110011	'321H
8	'11100110	'3212
8	'11100111	'3213
5	'11101	'32H
6	'111010	'322
7	'1110100	'322G
8	'11101000	'3220
8	'11101001	'3221
7	'1110101	'322H
8	'11101010	'3222
8	'11101011	'3223
6	'111011	'323
7	'1110110	'323G
8	'11101100	'3230
8	'11101101	'3231
7	'1110111	'323H
8	'11101110	'3232
8	'11101111	'3233
4	'1111	'33
5	'11110	'33G
6	'111100	'330
7	'1111000	'330G
8	'11110000	'3300
8	'11110001	'3301
7	'1111001	'330H
8	'11110010	'3302
8	'11110011	'3303
6	'111101	'331
7	'1111010	'331G
8	'11110100	'3310
8	'11110101	'3311
7	'1111011	'331H
8	'11110110	'3312
8	'11110111	'3313
5	'11111	'33H
6	'111110	'332
7	'1111100	'332G
8	'11111000	'3320
8	'11111001	'3321
7	'1111101	'332H
8	'11111010	'3322
8	'11111011	'3323
6	'111111	'333
7	'1111110	'333G
8	'11111100	'3330
8	'11111101	'3331
7	'1111111	'333H
8	'11111110	'3332
8	'11111111	'3333
	--- DEBUG1 SORT lexicographic:
G
0
0G
00
00G
000
000G
0000
0001
000H
0002
0003
001
001G
0010
0011
001H
0012
0013
00H
002
002G
0020
0021
002H
0022
0023
003
003G
0030
0031
003H
0032
0033
01
01G
010
010G
0100
0101
010H
0102
0103
011
011G
0110
0111
011H
0112
0113
01H
012
012G
0120
0121
012H
0122
0123
013
013G
0130
0131
013H
0132
0133
0H
02
02G
020
020G
0200
0201
020H
0202
0203
021
021G
0210
0211
021H
0212
0213
02H
022
022G
0220
0221
022H
0222
0223
023
023G
0230
0231
023H
0232
0233
03
03G
030
030G
0300
0301
030H
0302
0303
031
031G
0310
0311
031H
0312
0313
03H
032
032G
0320
0321
032H
0322
0323
033
033G
0330
0331
033H
0332
0333
1
1G
10
10G
100
100G
1000
1001
100H
1002
1003
101
101G
1010
1011
101H
1012
1013
10H
102
102G
1020
1021
102H
1022
1023
103
103G
1030
1031
103H
1032
1033
11
11G
110
110G
1100
1101
110H
1102
1103
111
111G
1110
1111
111H
1112
1113
11H
112
112G
1120
1121
112H
1122
1123
113
113G
1130
1131
113H
1132
1133
1H
12
12G
120
120G
1200
1201
120H
1202
1203
121
121G
1210
1211
121H
1212
1213
12H
122
122G
1220
1221
122H
1222
1223
123
123G
1230
1231
123H
1232
1233
13
13G
130
130G
1300
1301
130H
1302
1303
131
131G
1310
1311
131H
1312
1313
13H
132
132G
1320
1321
132H
1322
1323
133
133G
1330
1331
133H
1332
1333
H
2
2G
20
20G
200
200G
2000
2001
200H
2002
2003
201
201G
2010
2011
201H
2012
2013
20H
202
202G
2020
2021
202H
2022
2023
203
203G
2030
2031
203H
2032
2033
21
21G
210
210G
2100
2101
210H
2102
2103
211
211G
2110
2111
211H
2112
2113
21H
212
212G
2120
2121
212H
2122
2123
213
213G
2130
2131
213H
2132
2133
2H
22
22G
220
220G
2200
2201
220H
2202
2203
221
221G
2210
2211
221H
2212
2213
22H
222
222G
2220
2221
222H
2222
2223
223
223G
2230
2231
223H
2232
2233
23
23G
230
230G
2300
2301
230H
2302
2303
231
231G
2310
2311
231H
2312
2313
23H
232
232G
2320
2321
232H
2322
2323
233
233G
2330
2331
233H
2332
2333
3
3G
30
30G
300
300G
3000
3001
300H
3002
3003
301
301G
3010
3011
301H
3012
3013
30H
302
302G
3020
3021
302H
3022
3023
303
303G
3030
3031
303H
3032
3033
31
31G
310
310G
3100
3101
310H
3102
3103
311
311G
3110
3111
311H
3112
3113
31H
312
312G
3120
3121
312H
3122
3123
313
313G
3130
3131
313H
3132
3133
3H
32
32G
320
320G
3200
3201
320H
3202
3203
321
321G
3210
3211
321H
3212
3213
32H
322
322G
3220
3221
322H
3222
3223
323
323G
3230
3231
323H
3232
3233
33
33G
330
330G
3300
3301
330H
3302
3303
331
331G
3310
3311
331H
3312
3313
33H
332
332G
3320
3321
332H
3322
3323
333
333G
3330
3331
333H
3332
3333
	--- DEBUG2 SORT numeric revert:
3333
3332
3331
3330
3323
3322
3321
3320
3313
3312
3311
3310
3303
3302
3301
3300
3233
3232
3231
3230
3223
3222
3221
3220
3213
3212
3211
3210
3203
3202
3201
3200
3133
3132
3131
3130
3123
3122
3121
3120
3113
3112
3111
3110
3103
3102
3101
3100
3033
3032
3031
3030
3023
3022
3021
3020
3013
3012
3011
3010
3003
3002
3001
3000
2333
2332
2331
2330
2323
2322
2321
2320
2313
2312
2311
2310
2303
2302
2301
2300
2233
2232
2231
2230
2223
2222
2221
2220
2213
2212
2211
2210
2203
2202
2201
2200
2133
2132
2131
2130
2123
2122
2121
2120
2113
2112
2111
2110
2103
2102
2101
2100
2033
2032
2031
2030
2023
2022
2021
2020
2013
2012
2011
2010
2003
2002
2001
2000
1333
1332
1331
1330
1323
1322
1321
1320
1313
1312
1311
1310
1303
1302
1301
1300
1233
1232
1231
1230
1223
1222
1221
1220
1213
1212
1211
1210
1203
1202
1201
1200
1133
1132
1131
1130
1123
1122
1121
1120
1113
1112
1111
1110
1103
1102
1101
1100
1033
1032
1031
1030
1023
1022
1021
1020
1013
1012
1011
1010
1003
1002
1001
1000
0333
0332
0331
0330
0323
0322
0321
0320
0313
0312
0311
0310
0303
0302
0301
0300
0233
0232
0231
0230
0223
0222
0221
0220
0213
0212
0211
0210
0203
0202
0201
0200
0133
0132
0131
0130
0123
0122
0121
0120
0113
0112
0111
0110
0103
0102
0101
0100
0033
0032
0031
0030
0023
0022
0021
0020
0013
0012
0011
0010
0003
0002
0001
0000
333H
333G
332H
332G
331H
331G
330H
330G
323H
323G
322H
322G
321H
321G
320H
320G
313H
313G
312H
312G
311H
311G
310H
310G
303H
303G
302H
302G
301H
301G
300H
300G
233H
233G
232H
232G
231H
231G
230H
230G
223H
223G
222H
222G
221H
221G
220H
220G
213H
213G
212H
212G
211H
211G
210H
210G
203H
203G
202H
202G
201H
201G
200H
200G
133H
133G
132H
132G
131H
131G
130H
130G
123H
123G
122H
122G
121H
121G
120H
120G
113H
113G
112H
112G
111H
111G
110H
110G
103H
103G
102H
102G
101H
101G
100H
100G
033H
033G
032H
032G
031H
031G
030H
030G
023H
023G
022H
022G
021H
021G
020H
020G
013H
013G
012H
012G
011H
011G
010H
010G
003H
003G
002H
002G
001H
001G
000H
000G
333
332
331
330
323
322
321
320
313
312
311
310
303
302
301
300
233
232
231
230
223
222
221
220
213
212
211
210
203
202
201
200
133
132
131
130
123
122
121
120
113
112
111
110
103
102
101
100
033
032
031
030
023
022
021
020
013
012
011
010
003
002
001
000
33H
33G
32H
32G
31H
31G
30H
30G
23H
23G
22H
22G
21H
21G
20H
20G
13H
13G
12H
12G
11H
11G
10H
10G
03H
03G
02H
02G
01H
01G
00H
00G
33
32
31
30
23
22
21
20
13
12
11
10
03
02
01
00
3H
3G
2H
2G
1H
1G
0H
0G
3
2
1
0
H
G
